Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,292,198643,250.69,1330.48,47434.48,48200.4,0,0,-1079.79,162.4468493150685,-3.6979109589041093,October 2021
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,13,30599,0,2.4,1607.19,1612.08,0,0,-2.4,123.63000000000001,-0.1846153846153846,October 2021
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,1888.0,1885.1,0,0,0,236.0,0.0,October 2021
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,718,0,0,61.17,61.1,0,0,0,61.17,0.0,October 2021
Sub Total (i+ii+iii+iv),,,314,230040,250.69,1332.88,50990.84,51758.68,0,0,-1082.19,162.3912101910828,-3.4464649681528665,October 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,October 2021
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,20,322836,0,65.68,4003.97,4083.38,0,0,-65.68,200.1985,-3.2840000000000003,October 2021
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,29,249075,0,70.03,9166.56,9322.99,0,0,-70.03,316.08827586206894,-2.4148275862068966,October 2021
Sub Total (i+ii),,,49,571911,0,135.71,13170.53,13406.37,0,0,-135.71,268.78632653061226,-2.769591836734694,October 2021
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,October 2021
Total B -Close ended Schemes,,,363,801951,250.69,1468.59,64161.37,65165.05,0,0,-1217.8999999999999,176.75308539944905,-3.355096418732782,October 2021
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,October 2021
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3193,0.01,0.96,109.17,137.72,0,0,-0.95,5.198571428571428,-0.04523809523809524,October 2021
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,October 2021
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,October 2021
Total C Interval Schemes,,,21,3193,0.01,0.96,109.17,137.72,0,0,-0.95,5.198571428571428,-0.04523809523809524,October 2021
Grand Total,,,1456,114380871,751033.4,712758.26,3733203.82,3821816.08,26,812.82,38275.140000000014,2564.0136126373627,26.287870879120888,October 2021
Fund of Funds Scheme (Domestic) **,,,61,1515219,1969.09,726.4,40945.97,40122.79,0,0,1242.69,671.2454098360656,20.371967213114754,October 2021
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,125159,365925.62,349613.58,94273.39,89975.24,0,0,16312.039999999979,3142.4463333333333,543.7346666666659,September 2021
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,39,2123358,237925.11,286304.29,323838.05,369249.77,0,0,-48379.17999999999,8303.539743589743,-1240.4917948717946,September 2021
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,28,649848,18613.57,29522.52,95827.79,103448.02,0,0,-10908.95,3422.4210714285714,-389.60535714285714,September 2021
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,1151054,20049.44,36658.69,140103.42,149712.5,2,28.35,-16609.250000000004,5837.642500000001,-692.0520833333335,September 2021
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,481622,30995.52,39428.95,117091.79,127018.94,0,0,-8433.429999999997,5854.5895,-421.6714999999998,September 2021
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,637927,5446.98,5382.5,142653.4,143184.79,1,22.74,64.47999999999956,5283.459259259259,2.388148148148132,September 2021
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,301674,2965.54,866.9,34912.79,34275.21,6,330.25,2098.64,2182.049375,131.165,September 2021
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,121331,1288.49,169.78,12764.59,12424.12,1,16.27,1118.71,981.8915384615385,86.05461538461539,September 2021
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,26246,22.25,32.11,2620.42,2615.41,0,0,-9.86,1310.21,-4.93,September 2021
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,251399,917.96,494.15,26081.12,25938.07,2,128.93,423.81000000000006,1003.12,16.30038461538462,September 2021
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,717992,5318.38,6752.59,160354.64,162433.13,0,0,-1434.21,8017.732000000001,-71.7105,September 2021
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,284963,886.07,489.52,27670.31,27303.81,8,231.41,396.55000000000007,1729.394375,24.784375000000004,September 2021
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,365643,1981.17,6385.51,118001.08,120931.37,0,0,-4404.34,5363.685454545454,-200.19727272727275,September 2021
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,193648,862.02,810.94,16924.89,17012.17,0,0,51.07999999999993,805.9471428571428,2.432380952380949,September 2021
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,50529,69.32,136.89,1442.11,1525.54,0,0,-67.57,360.5275,-16.8925,September 2021
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,278617,14255.51,8384.24,100856.84,99946.91,0,0,5871.27,8404.736666666666,489.27250000000004,September 2021
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,320,7761010,707522.95,771433.18,1415416.61,1486994.99,20,757.95,-63910.2300000001,4423.176906250001,-199.71946875000032,September 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,12,1835717,4138.86,569.41,31442.41,27838.25,0,0,3569.45,2620.2008333333333,297.45416666666665,September 2021
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,33,11385481,4253.56,4239.66,218332.3,217576.75,0,0,13.900000000000546,6616.1303030303025,0.42121212121213775,September 2021
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,5690368,2447.91,2189.67,99628.51,99131.73,0,0,258.2399999999998,3558.161071428571,9.222857142857135,September 2021
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,7684684,4361.58,3010.61,153023.64,151184.21,0,0,1350.9699999999998,5465.13,48.248928571428564,September 2021
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,25,6396133,2992.35,3241.09,98014.17,96657.27,0,0,-248.74000000000024,3920.5668,-9.949600000000009,September 2021
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,542982,153.29,171.69,9450.47,9367.41,0,0,-18.400000000000006,1181.30875,-2.3000000000000007,September 2021
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,21,3887509,1587.92,1705.25,76427.43,75386.93,0,0,-117.32999999999993,3639.4014285714284,-5.587142857142854,September 2021
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,4534024,2348.89,2234.44,91829.12,91656.51,0,0,114.44999999999982,3401.078518518518,4.238888888888882,September 2021
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,112,9903316,6479.94,3861.67,136722.55,134902.43,0,0,2618.2699999999995,1220.7370535714285,23.37741071428571,September 2021
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,42,12969205,1340.77,2212.85,149424.1,148933.19,0,0,-872.0799999999999,3557.7166666666667,-20.76380952380952,September 2021
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,10221008,6551.57,4542.9,215352.51,213143.84,0,0,2008.67,7691.161071428572,71.73821428571429,September 2021
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,364,75050427,36656.66,27979.25,1279647.2,1265778.52,0,0,8677.410000000003,3515.5142857142855,23.839038461538472,September 2021
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,21,463166,820.28,394.62,18087.44,17798.8,2,44.98,425.65999999999997,861.3066666666666,20.269523809523808,September 2021
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,34,4862337,2890.77,3110.29,144024.08,143452.51,2,9.33,-219.51999999999998,4236.0023529411765,-6.456470588235294,September 2021
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,24,3527506,8131.46,2897.97,149883.93,147500.6,0,0,5233.49,6245.16375,218.06208333333333,September 2021
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,743429,708.04,466.83,17948.15,18292.28,0,0,241.20999999999998,1794.815,24.121,September 2021
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,564998,8202.89,11212.02,105975.07,120739.02,0,0,-3009.130000000001,4075.964230769231,-115.73576923076926,September 2021
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,23,314134,1587.73,671.85,14246.41,14291.18,2,25.81,915.88,619.4091304347826,39.82086956521739,September 2021
Sub Total - III (i+ii+iii+iv+v+vi),,,138,10475570,22341.16,18753.57,450165.06,462074.39,6,80.12,3587.59,3262.065652173913,25.997028985507246,September 2021
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2648701,208.97,151.4,16152.35,16035.0,0,0,57.56999999999999,646.094,2.3027999999999995,September 2021
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2880887,81.45,57.91,12797.82,12726.73,0,0,23.540000000000006,1279.782,2.3540000000000005,September 2021
Sub Total - IV (i+ii),,,35,5529588,290.42,209.31,28950.17,28761.72,0,0,81.11000000000001,827.1477142857142,2.3174285714285716,September 2021
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Index Funds,Open ended Schemes,Other Schemes,53,1622449,4264.08,1159.73,33824.26,31906.83,0,0,3104.35,638.1935849056604,58.57264150943396,September 2021
GOLD ETF,Open ended Schemes,Other Schemes,11,2459250,458.51,12.82,16336.82,16247.77,0,0,445.69,1485.1654545454546,40.517272727272726,September 2021
Other ETFs,Open ended Schemes,Other Schemes,103,6905096,11467.15,3806.91,362936.91,356515.42,0,0,7660.24,3523.6593203883494,74.37126213592232,September 2021
Fund of funds investing overseas,Open ended Schemes,Other Schemes,38,1047097,905.72,495.71,21126.84,21601.09,0,0,410.01000000000005,555.9694736842106,10.789736842105265,September 2021
Sub Total - V (i+ii+iii+iv),,,205,12033892,17095.46,5475.17,434224.83,426271.1,0,0,11620.289999999999,2118.1699024390246,56.68434146341463,September 2021
Total A-Open ended Schemes,,,1062,110850487,783906.65,823850.48,3608403.89,3669880.71,26,838.07,-39943.82999999996,3397.743775894539,-37.61189265536719,September 2021
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,306,204162,493.39,5473.34,48548.91,51593.73,0,0,-4979.95,158.65656862745098,-16.27434640522876,September 2021
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,13,30600,0,103.73,1602.9,1704.92,0,0,-103.73,123.30000000000001,-7.979230769230769,September 2021
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,1879.89,2005.7,0,0,0,234.98625,0.0,September 2021
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,718,0,0,60.52,60.68,0,0,0,60.52,0.0,September 2021
Sub Total (i+ii+iii+iv),,,328,235560,493.39,5577.07,52092.22,55365.02,0,0,-5083.679999999999,158.81774390243902,-15.4990243902439,September 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,20,325287,0,113.48,4026.34,4777.96,0,0,-113.48,201.317,-5.674,September 2021
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,31,255224,0,2107.55,9260.81,10623.29,0,0,-2107.55,298.73580645161286,-67.98548387096774,September 2021
Sub Total (i+ii),,,51,580511,0,2221.03,13287.14,15401.25,0,0,-2221.03,260.53215686274507,-43.54960784313726,September 2021
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2021
Total B -Close ended Schemes,,,379,816071,493.39,7798.1,65379.37,70766.27,0,0,-7304.71,172.50493403693932,-19.273641160949868,September 2021
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2021
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3218,0.07,8.87,109.88,144.39,0,0,-8.799999999999999,5.232380952380952,-0.419047619047619,September 2021
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2021
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2021
Total C Interval Schemes,,,21,3218,0.07,8.87,109.88,144.39,0,0,-8.799999999999999,5.232380952380952,-0.419047619047619,September 2021
Grand Total,,,1462,111669776,784400.11,831657.45,3673893.13,3740791.37,26,838.07,-47257.33999999997,2512.9227975376198,-32.32376196990422,September 2021
Fund of Funds Scheme (Domestic) **,,,59,1493491,2056.19,641.79,38991.56,38377.43,0,0,1414.4,660.8738983050847,23.972881355932206,September 2021
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,125333,318023.85,329831.52,77725.65,94972.18,0,0,-11807.670000000042,2590.855,-393.5890000000014,August 2021
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,39,2126963,251154.44,251868.54,371245.71,376230.66,0,0,-714.1000000000058,9519.120769230769,-18.31025641025656,August 2021
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,28,646637,18151.79,16262.0,106445.19,105170.31,0,0,1889.7900000000009,3801.6139285714285,67.49250000000004,August 2021
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,1148104,16305.5,23713.18,156106.63,160247.54,2,11.92,-7407.68,6504.442916666667,-308.65333333333336,August 2021
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,484192,28933.58,26885.32,125210.1,124083.37,0,0,2048.260000000002,6260.505,102.4130000000001,August 2021
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,27,637336,8676.99,8263.52,142038.34,140426.63,1,11.24,413.46999999999935,5260.679259259259,15.313703703703679,August 2021
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,298702,1022.55,826.63,32647.04,32390.82,6,327.66,195.91999999999996,2040.44,12.244999999999997,August 2021
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,121294,1496.33,270.57,11544.69,10589.27,1,16.13,1225.76,888.053076923077,94.28923076923077,August 2021
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,26599,59.48,40.1,2583.22,2549.06,0,0,19.379999999999995,1291.61,9.689999999999998,August 2021
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,251937,1495.17,808.42,25470.96,25136.85,2,128.88,686.7500000000001,979.6523076923077,26.413461538461544,August 2021
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,721319,10307.97,7243.02,161378.22,158475.71,0,0,3064.949999999999,8068.911,153.24749999999995,August 2021
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,284978,553.91,451.04,27055.0,26901.21,8,230.81,102.86999999999995,1690.9375,6.429374999999997,August 2021
Banking and PSU Fund,Open ended Schemes,Income/Debt Oriented Schemes,22,367750,4649.83,3629.19,122246.25,121143.65,0,0,1020.6399999999999,5556.647727272727,46.392727272727264,August 2021
Gilt Fund,Open ended Schemes,Income/Debt Oriented Schemes,21,193775,1056.64,739.47,16743.25,16362.42,0,0,317.1700000000001,797.297619047619,15.103333333333337,August 2021
Gilt Fund with 10 year constant duration,Open ended Schemes,Income/Debt Oriented Schemes,4,50204,100.94,72.78,1499.58,1472.06,0,0,28.159999999999997,374.895,7.039999999999999,August 2021
Floater Fund,Open ended Schemes,Income/Debt Oriented Schemes,12,269606,17076.59,7085.81,94751.37,89676.68,0,0,9990.779999999999,7895.947499999999,832.5649999999999,August 2021
Sub Total - I (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi+xii+xiii+xiv+xv+xvi),,,320,7754729,679065.55,677991.11,1474691.23,1485828.43,20,726.64,1074.4400000000605,4608.41009375,3.3576250000001893,August 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Multi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,11,1639812,636.09,653.63,26790.79,25957.23,0,0,-17.539999999999964,2435.526363636364,-1.5945454545454512,August 2021
Large Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,33,11187236,3723.66,3802.29,212473.34,205073.09,0,0,-78.63000000000011,6438.5860606060605,-2.382727272727276,August 2021
Large & Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,5548081,2492.32,2041.38,96660.05,93857.97,0,0,450.94000000000005,3452.144642857143,16.105,August 2021
Mid Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,7492165,3200.71,3038.77,146626.85,142798.12,0,0,161.94000000000005,5430.624074074074,5.99777777777778,August 2021
Small Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,25,6165044,2535.34,2698.05,93677.04,92454.2,0,0,-162.71000000000004,3747.0815999999995,-6.508400000000002,August 2021
Dividend Yield Fund,Open ended Schemes,Growth/Equity Oriented Schemes,8,540076,125.32,119.84,9164.22,8903.14,0,0,5.47999999999999,1145.5275,0.6849999999999987,August 2021
Value Fund/Contra Fund,Open ended Schemes,Growth/Equity Oriented Schemes,19,3822234,980.63,1594.0,73612.85,71999.33,0,0,-613.37,3874.3605263157897,-32.28263157894737,August 2021
Focused Fund,Open ended Schemes,Growth/Equity Oriented Schemes,27,4425952,4535.85,1463.08,89403.66,83676.13,0,0,3072.7700000000004,3311.246666666667,113.80629629629631,August 2021
Sectoral/Thematic Funds,Open ended Schemes,Growth/Equity Oriented Schemes,111,9453800,5615.7,3730.45,131122.23,126731.63,0,0,1885.25,1181.2813513513515,16.984234234234233,August 2021
ELSS,Open ended Schemes,Growth/Equity Oriented Schemes,42,12852969,1281.47,2060.13,145950.6,141240.04,0,0,-778.6600000000001,3475.014285714286,-18.53952380952381,August 2021
Flexi Cap Fund,Open ended Schemes,Growth/Equity Oriented Schemes,28,9847338,8541.68,3800.46,207660.61,199078.87,0,0,4741.22,7416.450357142857,169.32928571428573,August 2021
Sub Total - II (i+ii+iii+iv+v+vi+vii+viii+ix+x+xi),,,359,72974707,33668.76,25002.08,1233142.23,1191769.75,0,0,8666.68,3434.936573816156,24.141169916434542,August 2021
Hybrid Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Conservative Hybrid Fund,Open ended Schemes,Hybrid Schemes,22,457641,737.95,726.8,17378.04,17216.65,2,44.58,11.150000000000091,789.9109090909092,0.5068181818181859,August 2021
Balanced Hybrid Fund/Aggressive Hybrid Fund,Open ended Schemes,Hybrid Schemes,34,4826075,2475.42,3036.43,140797.39,137795.69,2,9.33,-561.0099999999998,4141.099705882353,-16.50029411764705,August 2021
Dynamic Asset Allocation/Balanced Advantage Fund,Open ended Schemes,Hybrid Schemes,24,3391912,18973.89,2402.92,141492.63,126420.92,0,0,16570.97,5895.52625,690.4570833333333,August 2021
Multi Asset Allocation Fund,Open ended Schemes,Hybrid Schemes,10,734944,443.44,492.48,17059.05,17526.85,0,0,-49.04000000000002,1705.905,-4.904000000000002,August 2021
Arbitrage Fund,Open ended Schemes,Hybrid Schemes,26,560457,14721.13,12927.99,108251.29,121284.79,0,0,1793.1399999999994,4163.511153846153,68.96692307692305,August 2021
Equity Savings Fund,Open ended Schemes,Hybrid Schemes,23,305370,1412.41,471.78,13135.98,13095.45,2,25.81,940.6300000000001,571.1295652173912,40.896956521739135,August 2021
Sub Total - III (i+ii+iii+iv+v+vi),,,139,10276399,38764.23,20058.39,438114.39,433340.35,6,79.72,18705.840000000004,3151.902086330935,134.57438848920867,August 2021
Solution Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,25,2642849,193.34,176.09,15697.99,15328.9,0,0,17.25,627.9196,0.69,August 2021
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2881269,79.41,67.0,12519.15,12262.87,0,0,12.409999999999997,1251.915,1.2409999999999997,August 2021
Sub Total - IV (i+ii),,,35,5524118,272.75,243.09,28217.14,27591.77,0,0,29.659999999999997,806.204,0.8474285714285713,August 2021
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Index Funds,Open ended Schemes,Other Schemes,51,1530663,3016.51,1082.13,30050.65,28093.41,0,0,1934.38,589.228431372549,37.92901960784314,August 2021
GOLD ETF,Open ended Schemes,Other Schemes,11,2146745,265.08,241.16,16349.82,16348.5,0,0,23.919999999999987,1486.3472727272726,2.1745454545454534,August 2021
Other ETFs,Open ended Schemes,Other Schemes,101,6304648,11714.59,3166.47,344292.22,328690.14,0,0,8548.12,3408.8338613861383,84.63485148514852,August 2021
Fund of funds investing overseas,Open ended Schemes,Other Schemes,38,1032517,1396.92,311.63,21441.19,20804.15,0,0,1085.29,564.2418421052631,28.560263157894735,August 2021
Sub Total - V (i+ii+iii+iv),,,201,11014573,16393.1,4801.38,412133.88,393936.2,0,0,11591.719999999998,2050.4173134328357,57.670248756218896,August 2021
Total A-Open ended Schemes,,,1054,107544526,768164.39,728096.05,3586298.87,3532466.5,26,806.36,40068.33999999997,3402.56059772296,38.01550284629978,August 2021
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Fixed Term Plan ##,Close Ended Schemes,,332,227395,913.68,7393.23,53286.47,57332.59,0,0,-6479.549999999999,160.5014156626506,-19.516716867469878,August 2021
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,14,32901,0,0.09,1702.98,1687.6,0,0,-0.09,121.64142857142858,-0.0064285714285714285,August 2021
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,8,80,0,0,2004.53,2001.09,0,0,0,250.56625,0.0,August 2021
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,718,0,0,60.17,59.8,0,0,0,60.17,0.0,August 2021
Sub Total (i+ii+iii+iv),,,355,261094,913.68,7393.32,57054.15,61081.08,0,0,-6479.639999999999,160.71591549295775,-18.25250704225352,August 2021
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,25,398892,0,202.94,4897.0,4839.54,0,0,-202.94,195.88,-8.1176,August 2021
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,33,345456,0,406.94,11077.38,10937.12,0,0,-406.94,335.67818181818177,-12.331515151515152,August 2021
Sub Total (i+ii),,,58,744348,0,609.89,15974.38,15776.66,0,0,-609.89,275.4203448275862,-10.515344827586206,August 2021
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2021
Total B -Close ended Schemes,,,413,1005442,913.68,8003.21,73028.53,76857.74,0,0,-7089.53,176.82452784503633,-17.16593220338983,August 2021
Interval Schemes,,,0,0,0,0,0,0,0,0,0,0,0,August 2021
Income/Debt Oriented Schemes,Interval Schemes,Income/Debt Oriented Schemes,21,3294,0.02,2.63,117.64,146.49,0,0,-2.61,5.601904761904762,-0.12428571428571428,August 2021
Growth/Equity Oriented Schemes,Interval Schemes,Growth/Equity Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2021
Other Schemes,Interval Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,August 2021
Total C Interval Schemes,,,21,3294,0.02,2.63,117.64,146.49,0,0,-2.61,5.601904761904762,-0.12428571428571428,August 2021
Grand Total,,,1488,108553262,769078.1,736101.89,3659445.04,3609470.73,26,806.36,32976.20999999996,2459.3044623655915,22.161431451612877,August 2021
Fund of Funds Scheme (Domestic) **,,,57,1425304,1740.41,542.4,37506.55,36555.27,0,0,1198.0100000000002,658.0096491228071,21.017719298245616,August 2021
Open ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2021
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,July 2021
Overnight Fund,Open ended Schemes,Income/Debt Oriented Schemes,30,127165,307472.88,301540.28,89293.83,99098.93,0,0,5932.599999999977,2976.4610000000002,197.75333333333256,July 2021
Liquid Fund,Open ended Schemes,Income/Debt Oriented Schemes,39,2140748,275317.99,243578.2,370811.93,379152.48,0,0,31739.78999999998,9507.998205128204,813.8407692307687,July 2021
Ultra Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,28,651504,24062.77,17406.84,104172.99,102772.32,0,0,6655.93,3720.463928571429,237.71178571428572,July 2021
Low Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,24,1161022,23462.49,15301.04,162704.07,163027.06,2,11.92,8161.450000000001,6779.33625,340.0604166666667,July 2021
Money Market Fund,Open ended Schemes,Income/Debt Oriented Schemes,18,490463,40733.93,19823.49,122718.1,117508.4,0,0,20910.44,6817.672222222222,1161.691111111111,July 2021
Short Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,643977,4520.98,5948.05,140690.05,140740.19,1,11.24,-1427.0700000000006,5411.155769230769,-54.887307692307715,July 2021
Medium Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,299113,2309.33,1517.75,32213.41,31222.94,6,327.6,791.5799999999999,2013.338125,49.473749999999995,July 2021
Medium to Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,13,122526,131.66,1865.28,10219.22,11050.77,1,15.98,-1733.62,786.0938461538461,-133.3553846153846,July 2021
Long Duration Fund,Open ended Schemes,Income/Debt Oriented Schemes,2,27299,20.56,43.25,2532.66,2536.79,0,0,-22.69,1266.33,-11.345,July 2021
Dynamic Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,26,256475,1468.67,1833.52,24570.14,24572.66,2,128.81,-364.8499999999999,945.0053846153846,-14.032692307692304,July 2021
Corporate Bond Fund,Open ended Schemes,Income/Debt Oriented Schemes,20,729435,4776.84,7844.53,157184.98,158217.91,0,0,-3067.6899999999996,7859.249000000001,-153.38449999999997,July 2021
Credit Risk Fund,Open ended Schemes,Income/Debt Oriented Schemes,16,286609,764.43,462.88,26754.34,26511.65,8,230.16,301.54999999999995,1672.14625,18.846874999999997,July 2021
