Scheme Name,Scheme Type,Scheme Subtype,No. of Schemes,No. of Folios,Funds Mobilized (INR in crore),Repurchase/Redemption (INR in crore),Net Assets Under Management (INR in crore),Average Net Assets Under Management (INR in crore),No. of segregated portfolios created,Net Assets Under Management in segregated portfolio (INR in crores),Net Inflow or Outflow,Net Asset under Management per Scheme,Net Inflow or Outflow per Scheme,month and year
Retirement Fund,Open ended Schemes,Solution Oriented Schemes,26,2799015,231.77,130.82,21596.71,21647.05,0,0,100.95000000000002,830.6426923076923,3.8826923076923086,September 2023
Childrens Fund,Open ended Schemes,Solution Oriented Schemes,10,2944907,124.31,57.46,16729.63,16768.17,0,0,66.85,1672.9630000000002,6.685,September 2023
Sub Total - IV (i+ii),,,36,5743922,356.08,188.28,38326.33,38415.22,0,0,167.79999999999998,1064.6202777777778,4.6611111111111105,September 2023
Other Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
Index Funds,Open ended Schemes,Other Schemes,189,5388470,3908.53,2226.16,184028.12,183557.65,0,0,1682.3700000000003,973.6937566137566,8.901428571428573,September 2023
GOLD ETF,Open ended Schemes,Other Schemes,13,4806140,305.14,129.85,23798.83,24010.57,0,0,175.29,1830.6792307692308,13.483846153846153,September 2023
Other ETFs,Open ended Schemes,Other Schemes,172,12462054,12251.09,9009.17,560724.12,561752.52,0,0,3241.92,3260.023953488372,18.848372093023258,September 2023
Fund of funds investing overseas,Open ended Schemes,Other Schemes,51,1404536,265.39,645.26,22016.74,22826.62,0,0,-379.87,431.70078431372553,-7.448431372549019,September 2023
Sub Total - V (i+ii+iii+iv),,,425,24061200,16730.14,12010.44,790567.82,792147.36,0,0,4719.699999999999,1860.159576470588,11.105176470588233,September 2023
Total A-Open ended Schemes,,,1327,156484087,888380.17,952262.78,4629969.73,4750532.45,12,35.14,-63882.609999999986,3489.0502863602114,-48.14062547098718,September 2023
Close Ended Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
Income/Debt Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
Fixed Term Plan,Close Ended Schemes,Income/Debt Oriented Schemes,84,97531,0,1371.12,16723.47,17168.29,0,0,-1371.12,199.0889285714286,-16.322857142857142,September 2023
Capital Protection Oriented Schemes,Close Ended Schemes,Income/Debt Oriented Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2023
Infrastructure Debt Fund,Close Ended Schemes,Income/Debt Oriented Schemes,7,52,0,639.14,1568.78,1563.43,0,0,-639.14,224.11142857142858,-91.30571428571429,September 2023
Other Debt Scheme,Close Ended Schemes,Income/Debt Oriented Schemes,1,222870,20.63,53.29,5286.82,5319.69,0,0,-32.66,5286.82,-32.66,September 2023
Sub Total (i+ii+iii+iv),,,92,320453,20.63,2063.55,23579.07,24051.41,0,0,-2042.92,256.2942391304348,-22.205652173913045,September 2023
Growth/Equity Oriented Schemes,,,0,0,0,0,0,0,0,0,0,0,0,September 2023
ELSS,Close Ended Schemes,Growth/Equity Oriented Schemes,19,287282,0,27.71,3815.24,3849.42,0,0,-27.71,200.80210526315787,-1.458421052631579,September 2023
Other Equity Schemes,Close Ended Schemes,Growth/Equity Oriented Schemes,1,1738,0,206.02,114.37,273.0,0,0,-206.02,114.37,-206.02,September 2023
Sub Total (i+ii),,,20,289020,0,233.73,3929.61,4122.42,0,0,-233.73,196.4805,-11.686499999999999,September 2023
Other Schemes,Close Ended Schemes,Other Schemes,0,0,0,0,0,0,0,0,0,0,0,September 2023
Total B -Close ended Schemes,,,112,609473,20.63,2297.28,27508.68,28173.83,0,0,-2276.65,245.6132142857143,-20.327232142857145,September 2023
